"kobo_farmer_id","country","sheet_id","index","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla","parent_table_name","parent_index"
"280971814","tunisia","HOLPA_Tunisia_household_surv","1","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"280971825","tunisia","HOLPA_Tunisia_household_surv","2","_1_4_1_1_1","12","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281010578","tunisia","HOLPA_Tunisia_household_surv","3","_1_4_1_1_1","3","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281011997","tunisia","HOLPA_Tunisia_household_surv","4","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281013582","tunisia","HOLPA_Tunisia_household_surv","5","_1_4_1_1_1","1","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281013741","tunisia","HOLPA_Tunisia_household_surv","6","_1_4_1_1_1","2.5","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281013746","tunisia","HOLPA_Tunisia_household_surv","7","_1_4_1_1_1","10","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281016296","tunisia","HOLPA_Tunisia_household_surv","8","_1_4_1_1_1","1.5","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281017720","tunisia","HOLPA_Tunisia_household_surv","9","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281021653","tunisia","HOLPA_Tunisia_household_surv","10","_1_4_1_1_1","6","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281021665","tunisia","HOLPA_Tunisia_household_surv","11","_1_4_1_1_1","0.5","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281023753","tunisia","HOLPA_Tunisia_household_surv","12","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281023756","tunisia","HOLPA_Tunisia_household_surv","13","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281036932","tunisia","HOLPA_Tunisia_household_surv","14","_1_4_1_1_1","1","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281044598","tunisia","HOLPA_Tunisia_household_surv","15","_1_4_1_1_1","3","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"281048659","tunisia","HOLPA_Tunisia_household_surv","16","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","in hectares","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
